date_key,date,year,quarter,month,day,day_of_week,week_of_year,is_weekend
20250519,2025-05-19,2025,2,5,19,1,21,False
20250520,2025-05-20,2025,2,5,20,2,21,False
20250521,2025-05-21,2025,2,5,21,3,21,False
20250522,2025-05-22,2025,2,5,22,4,21,False
20250523,2025-05-23,2025,2,5,23,5,21,False
20250524,2025-05-24,2025,2,5,24,6,21,True
20250525,2025-05-25,2025,2,5,25,7,21,True
20250526,2025-05-26,2025,2,5,26,1,22,False
20250527,2025-05-27,2025,2,5,27,2,22,False
20250528,2025-05-28,2025,2,5,28,3,22,False
20250529,2025-05-29,2025,2,5,29,4,22,False
20250530,2025-05-30,2025,2,5,30,5,22,False
20250531,2025-05-31,2025,2,5,31,6,22,True
20250601,2025-06-01,2025,2,6,1,7,22,True
20250602,2025-06-02,2025,2,6,2,1,23,False
20250603,2025-06-03,2025,2,6,3,2,23,False
20250604,2025-06-04,2025,2,6,4,3,23,False
20250605,2025-06-05,2025,2,6,5,4,23,False
20250606,2025-06-06,2025,2,6,6,5,23,False
20250607,2025-06-07,2025,2,6,7,6,23,True
20250608,2025-06-08,2025,2,6,8,7,23,True
20250609,2025-06-09,2025,2,6,9,1,24,False
20250610,2025-06-10,2025,2,6,10,2,24,False
20250611,2025-06-11,2025,2,6,11,3,24,False
20250612,2025-06-12,2025,2,6,12,4,24,False
20250613,2025-06-13,2025,2,6,13,5,24,False
20250614,2025-06-14,2025,2,6,14,6,24,True
20250615,2025-06-15,2025,2,6,15,7,24,True
20250616,2025-06-16,2025,2,6,16,1,25,False
20250617,2025-06-17,2025,2,6,17,2,25,False
20250618,2025-06-18,2025,2,6,18,3,25,False
20250619,2025-06-19,2025,2,6,19,4,25,False
20250620,2025-06-20,2025,2,6,20,5,25,False
20250621,2025-06-21,2025,2,6,21,6,25,True
20250622,2025-06-22,2025,2,6,22,7,25,True
20250623,2025-06-23,2025,2,6,23,1,26,False
20250624,2025-06-24,2025,2,6,24,2,26,False
20250625,2025-06-25,2025,2,6,25,3,26,False
20250626,2025-06-26,2025,2,6,26,4,26,False
20250627,2025-06-27,2025,2,6,27,5,26,False
20250628,2025-06-28,2025,2,6,28,6,26,True
20250629,2025-06-29,2025,2,6,29,7,26,True
20250630,2025-06-30,2025,2,6,30,1,27,False
20250701,2025-07-01,2025,3,7,1,2,27,False
20250702,2025-07-02,2025,3,7,2,3,27,False
20250703,2025-07-03,2025,3,7,3,4,27,False
20250704,2025-07-04,2025,3,7,4,5,27,False
20250705,2025-07-05,2025,3,7,5,6,27,True
20250706,2025-07-06,2025,3,7,6,7,27,True
20250707,2025-07-07,2025,3,7,7,1,28,False
20250708,2025-07-08,2025,3,7,8,2,28,False
20250709,2025-07-09,2025,3,7,9,3,28,False
20250710,2025-07-10,2025,3,7,10,4,28,False
20250711,2025-07-11,2025,3,7,11,5,28,False
20250712,2025-07-12,2025,3,7,12,6,28,True
20250713,2025-07-13,2025,3,7,13,7,28,True
20250714,2025-07-14,2025,3,7,14,1,29,False
20250715,2025-07-15,2025,3,7,15,2,29,False
20250716,2025-07-16,2025,3,7,16,3,29,False
20250717,2025-07-17,2025,3,7,17,4,29,False
20250718,2025-07-18,2025,3,7,18,5,29,False
20250719,2025-07-19,2025,3,7,19,6,29,True
20250720,2025-07-20,2025,3,7,20,7,29,True
20250721,2025-07-21,2025,3,7,21,1,30,False
20250722,2025-07-22,2025,3,7,22,2,30,False
20250723,2025-07-23,2025,3,7,23,3,30,False
20250724,2025-07-24,2025,3,7,24,4,30,False
20250725,2025-07-25,2025,3,7,25,5,30,False
20250726,2025-07-26,2025,3,7,26,6,30,True
20250727,2025-07-27,2025,3,7,27,7,30,True
20250728,2025-07-28,2025,3,7,28,1,31,False
20250729,2025-07-29,2025,3,7,29,2,31,False
20250730,2025-07-30,2025,3,7,30,3,31,False
20250731,2025-07-31,2025,3,7,31,4,31,False
20250801,2025-08-01,2025,3,8,1,5,31,False
20250802,2025-08-02,2025,3,8,2,6,31,True
20250803,2025-08-03,2025,3,8,3,7,31,True
20250804,2025-08-04,2025,3,8,4,1,32,False
20250805,2025-08-05,2025,3,8,5,2,32,False
20250806,2025-08-06,2025,3,8,6,3,32,False
20250807,2025-08-07,2025,3,8,7,4,32,False
20250808,2025-08-08,2025,3,8,8,5,32,False
20250809,2025-08-09,2025,3,8,9,6,32,True
20250810,2025-08-10,2025,3,8,10,7,32,True
20250811,2025-08-11,2025,3,8,11,1,33,False
20250812,2025-08-12,2025,3,8,12,2,33,False
20250813,2025-08-13,2025,3,8,13,3,33,False
20250814,2025-08-14,2025,3,8,14,4,33,False
20250815,2025-08-15,2025,3,8,15,5,33,False
20250816,2025-08-16,2025,3,8,16,6,33,True
20250817,2025-08-17,2025,3,8,17,7,33,True
20250818,2025-08-18,2025,3,8,18,1,34,False
20250819,2025-08-19,2025,3,8,19,2,34,False
20250820,2025-08-20,2025,3,8,20,3,34,False
20250821,2025-08-21,2025,3,8,21,4,34,False
20250822,2025-08-22,2025,3,8,22,5,34,False
20250823,2025-08-23,2025,3,8,23,6,34,True
20250824,2025-08-24,2025,3,8,24,7,34,True
20250825,2025-08-25,2025,3,8,25,1,35,False
20250826,2025-08-26,2025,3,8,26,2,35,False
20250827,2025-08-27,2025,3,8,27,3,35,False
20250828,2025-08-28,2025,3,8,28,4,35,False
20250829,2025-08-29,2025,3,8,29,5,35,False
20250830,2025-08-30,2025,3,8,30,6,35,True
20250831,2025-08-31,2025,3,8,31,7,35,True
20250901,2025-09-01,2025,3,9,1,1,36,False
20250902,2025-09-02,2025,3,9,2,2,36,False
20250903,2025-09-03,2025,3,9,3,3,36,False
20250904,2025-09-04,2025,3,9,4,4,36,False
20250905,2025-09-05,2025,3,9,5,5,36,False
20250906,2025-09-06,2025,3,9,6,6,36,True
20250907,2025-09-07,2025,3,9,7,7,36,True
20250908,2025-09-08,2025,3,9,8,1,37,False
20250909,2025-09-09,2025,3,9,9,2,37,False
20250910,2025-09-10,2025,3,9,10,3,37,False
20250911,2025-09-11,2025,3,9,11,4,37,False
20250912,2025-09-12,2025,3,9,12,5,37,False
20250913,2025-09-13,2025,3,9,13,6,37,True
20250914,2025-09-14,2025,3,9,14,7,37,True
20250915,2025-09-15,2025,3,9,15,1,38,False
20250916,2025-09-16,2025,3,9,16,2,38,False
20250917,2025-09-17,2025,3,9,17,3,38,False
20250918,2025-09-18,2025,3,9,18,4,38,False
20250919,2025-09-19,2025,3,9,19,5,38,False
20250920,2025-09-20,2025,3,9,20,6,38,True
20250921,2025-09-21,2025,3,9,21,7,38,True
20250922,2025-09-22,2025,3,9,22,1,39,False
20250923,2025-09-23,2025,3,9,23,2,39,False
20250924,2025-09-24,2025,3,9,24,3,39,False
20250925,2025-09-25,2025,3,9,25,4,39,False
20250926,2025-09-26,2025,3,9,26,5,39,False
20250927,2025-09-27,2025,3,9,27,6,39,True
20250928,2025-09-28,2025,3,9,28,7,39,True
20250929,2025-09-29,2025,3,9,29,1,40,False
20250930,2025-09-30,2025,3,9,30,2,40,False
20251001,2025-10-01,2025,4,10,1,3,40,False
20251002,2025-10-02,2025,4,10,2,4,40,False
20251003,2025-10-03,2025,4,10,3,5,40,False
20251004,2025-10-04,2025,4,10,4,6,40,True
20251005,2025-10-05,2025,4,10,5,7,40,True
20251006,2025-10-06,2025,4,10,6,1,41,False
20251007,2025-10-07,2025,4,10,7,2,41,False
20251008,2025-10-08,2025,4,10,8,3,41,False
20251009,2025-10-09,2025,4,10,9,4,41,False
20251010,2025-10-10,2025,4,10,10,5,41,False
20251011,2025-10-11,2025,4,10,11,6,41,True
20251012,2025-10-12,2025,4,10,12,7,41,True
20251013,2025-10-13,2025,4,10,13,1,42,False
20251014,2025-10-14,2025,4,10,14,2,42,False
20251015,2025-10-15,2025,4,10,15,3,42,False
20251016,2025-10-16,2025,4,10,16,4,42,False
20251017,2025-10-17,2025,4,10,17,5,42,False
20251018,2025-10-18,2025,4,10,18,6,42,True
20251019,2025-10-19,2025,4,10,19,7,42,True
20251020,2025-10-20,2025,4,10,20,1,43,False
20251021,2025-10-21,2025,4,10,21,2,43,False
20251022,2025-10-22,2025,4,10,22,3,43,False
20251023,2025-10-23,2025,4,10,23,4,43,False
20251024,2025-10-24,2025,4,10,24,5,43,False
20251025,2025-10-25,2025,4,10,25,6,43,True
20251026,2025-10-26,2025,4,10,26,7,43,True
20251027,2025-10-27,2025,4,10,27,1,44,False
20251028,2025-10-28,2025,4,10,28,2,44,False
20251029,2025-10-29,2025,4,10,29,3,44,False
20251030,2025-10-30,2025,4,10,30,4,44,False
20251031,2025-10-31,2025,4,10,31,5,44,False
20251101,2025-11-01,2025,4,11,1,6,44,True
20251102,2025-11-02,2025,4,11,2,7,44,True
20251103,2025-11-03,2025,4,11,3,1,45,False
20251104,2025-11-04,2025,4,11,4,2,45,False
20251105,2025-11-05,2025,4,11,5,3,45,False
20251106,2025-11-06,2025,4,11,6,4,45,False
20251107,2025-11-07,2025,4,11,7,5,45,False
20251108,2025-11-08,2025,4,11,8,6,45,True
20251109,2025-11-09,2025,4,11,9,7,45,True
20251110,2025-11-10,2025,4,11,10,1,46,False
20251111,2025-11-11,2025,4,11,11,2,46,False
20251112,2025-11-12,2025,4,11,12,3,46,False
20251113,2025-11-13,2025,4,11,13,4,46,False
20251114,2025-11-14,2025,4,11,14,5,46,False
20251115,2025-11-15,2025,4,11,15,6,46,True
20251116,2025-11-16,2025,4,11,16,7,46,True
20251117,2025-11-17,2025,4,11,17,1,47,False
20251118,2025-11-18,2025,4,11,18,2,47,False
20251119,2025-11-19,2025,4,11,19,3,47,False
20251120,2025-11-20,2025,4,11,20,4,47,False
20251121,2025-11-21,2025,4,11,21,5,47,False
20251122,2025-11-22,2025,4,11,22,6,47,True
20251123,2025-11-23,2025,4,11,23,7,47,True
20251124,2025-11-24,2025,4,11,24,1,48,False
20251125,2025-11-25,2025,4,11,25,2,48,False
20251126,2025-11-26,2025,4,11,26,3,48,False
20251127,2025-11-27,2025,4,11,27,4,48,False
20251128,2025-11-28,2025,4,11,28,5,48,False
20251129,2025-11-29,2025,4,11,29,6,48,True
20251130,2025-11-30,2025,4,11,30,7,48,True
20251201,2025-12-01,2025,4,12,1,1,49,False
20251202,2025-12-02,2025,4,12,2,2,49,False
20251203,2025-12-03,2025,4,12,3,3,49,False
20251204,2025-12-04,2025,4,12,4,4,49,False
20251205,2025-12-05,2025,4,12,5,5,49,False
20251206,2025-12-06,2025,4,12,6,6,49,True
20251207,2025-12-07,2025,4,12,7,7,49,True
20251208,2025-12-08,2025,4,12,8,1,50,False
20251209,2025-12-09,2025,4,12,9,2,50,False
20251210,2025-12-10,2025,4,12,10,3,50,False
20251211,2025-12-11,2025,4,12,11,4,50,False
20251212,2025-12-12,2025,4,12,12,5,50,False
20251213,2025-12-13,2025,4,12,13,6,50,True
20251214,2025-12-14,2025,4,12,14,7,50,True
20251215,2025-12-15,2025,4,12,15,1,51,False
20251216,2025-12-16,2025,4,12,16,2,51,False
20251217,2025-12-17,2025,4,12,17,3,51,False
20251218,2025-12-18,2025,4,12,18,4,51,False
20251219,2025-12-19,2025,4,12,19,5,51,False
20251220,2025-12-20,2025,4,12,20,6,51,True
20251221,2025-12-21,2025,4,12,21,7,51,True
20251222,2025-12-22,2025,4,12,22,1,52,False
20251223,2025-12-23,2025,4,12,23,2,52,False
20251224,2025-12-24,2025,4,12,24,3,52,False
20251225,2025-12-25,2025,4,12,25,4,52,False
20251226,2025-12-26,2025,4,12,26,5,52,False
20251227,2025-12-27,2025,4,12,27,6,52,True
20251228,2025-12-28,2025,4,12,28,7,52,True
20251229,2025-12-29,2025,4,12,29,1,1,False
20251230,2025-12-30,2025,4,12,30,2,1,False
20251231,2025-12-31,2025,4,12,31,3,1,False
